deg, deg, m, kgf-m, m
0,-0.260374936,0,0,-0.092296564
10,-0.300046821,0.091580718,343.4276937,-0.08821048
20,-0.439897898,0.195321816,732.4568088,-0.076676185
30,-0.697364605,0.297077748,1114.041555,-0.064208402
40,-0.997580757,0.348078017,1305.292565,-0.052973083
50,-1.206168321,0.35537537,1332.657636,-0.029833544
60,-1.325137815,0.336139356,1260.522588,0.00192967
70,-1.358449487,0.299011415,1121.292807,0.039806792
80,-1.312060129,0.249471631,935.5186987,0.081630845
90,-1.189722812,0.192025175,720.0944386,0.125794939
100,-0.997888159,0.131241468,492.1555033,0.170812075
110,-0.792061082,0.070742707,265.2851524,0.210974427
120,-0.641744391,0.014566601,54.62475434,0.239319902
130,-0.509803821,-0.03249553,-121.8582372,0.257763181
