deg,deg,m,kgf-m,m
0,0.018240752,0,0,0.02149725
10,-0.062519342,0.195241972,732.1573932,0.021821619
20,-0.279076976,0.37202216,1395.083102,0.02428346
30,-0.446502187,0.428103642,1605.388657,0.040326795
40,-0.552116714,0.416758419,1562.844069,0.066475762
50,-0.593320844,0.372712317,1397.671189,0.097517166
60,-0.563069944,0.308167107,1155.626653,0.131276919
70,-0.478246888,0.22982924,861.8597237,0.164898844
80,-0.3334439,0.142271767,533.5191691,0.198068337
90,-0.169388295,0.049752694,186.572615,0.226130374
100,0.019698229,-0.043904404,-164.6415276,0.249317962
110,0.23688576,-0.134666021,-504.997607,0.267831244
120,0.456452279,-0.218124994,-817.9687277,0.279259759
130,0.648813079,-0.289226696,-1084.60011,0.280995572
